"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201512;10020518;10;2;5;18;2;591;291;300;16;72;84;21;67;268;39;18;6;34;262;110;21;164;15;15;107;7;328;162;166;7;21;42;6;43;188;21;0;0;5088;2530;2558;71;371;481;154;371;2534;609;356;141
201512;10020519;10;2;5;19;2;1524;864;660;33;190;243;52;220;692;73;21;0;88;450;194;180;353;52;247;242;0;1148;671;477;15;121;157;37;195;584;33;6;0;5951;3077;2874;80;531;705;159;534;2813;628;378;123
201512;10020620;10;2;6;20;2;430;198;232;7;29;42;10;30;206;63;37;6;19;100;53;10;212;13;21;71;3;181;85;96;4;10;9;4;12;115;18;9;0;3318;1612;1706;40;169;148;46;245;1695;572;324;79
201512;10020621;10;2;6;21;2;774;361;413;21;71;93;37;98;353;62;36;3;38;278;130;6;274;13;21;169;13;402;179;223;3;29;33;19;53;240;22;3;0;6059;2992;3067;101;437;542;163;489;3063;700;435;129
201512;10020622;10;2;6;22;2;948;449;499;15;82;132;34;73;425;87;79;21;40;285;130;71;398;49;21;93;31;394;185;209;0;22;33;13;31;233;27;26;9;8672;3978;4694;86;390;546;147;395;3472;1557;1487;592
201512;10020623;10;2;6;23;2;612;314;298;6;49;75;24;27;287;86;37;21;22;121;64;15;309;12;9;134;12;219;107;112;0;4;6;9;15;145;25;12;3;6558;3098;3460;42;280;396;123;251;2698;1236;1121;411
201512;10030724;10;3;7;24;2;1084;568;516;9;45;79;13;332;510;63;18;15;131;299;59;9;266;34;95;366;15;743;401;342;3;15;12;0;300;383;18;9;3;7778;3806;3972;48;256;440;145;574;3043;1348;1489;435
201512;10030725;10;3;7;25;2;755;397;358;24;33;55;49;90;345;60;71;28;33;144;44;25;300;21;63;181;21;368;202;166;6;3;6;31;72;207;18;15;10;5844;2947;2897;60;205;315;137;333;2429;1075;963;327
201512;10030726;10;3;7;26;2;241;122;119;6;34;27;6;19;124;22;3;0;17;81;28;12;84;6;3;55;0;96;49;47;0;6;6;3;13;58;10;0;0;2949;1427;1522;15;161;191;64;106;1215;447;460;290
201512;10030727;10;3;7;27;2;685;352;333;6;47;111;27;55;325;86;19;9;54;195;66;9;255;15;19;161;31;244;135;109;0;3;6;0;31;170;28;3;3;9181;4552;4629;60;362;741;215;388;3885;1660;1460;410
201512;10040828;10;4;8;28;2;405;188;217;6;28;81;19;22;189;37;16;7;50;121;28;3;184;26;6;53;12;176;88;88;6;0;9;3;15;118;12;13;0;7621;3767;3854;48;328;612;196;354;3394;1364;1080;245
201512;10040829;10;4;8;29;2;240;137;103;6;18;24;12;38;115;9;15;3;39;91;31;6;24;3;77;36;3;150;98;52;0;6;3;0;32;94;6;9;0;3639;1800;1839;27;130;268;98;207;1569;547;618;175
201512;10040830;10;4;8;30;2;409;208;201;9;45;65;9;27;163;60;25;6;51;135;48;4;118;0;27;107;18;152;79;73;0;6;3;0;12;97;18;13;3;7534;3750;3784;52;322;574;196;310;2992;1436;1328;324
201512;10040931;10;4;9;31;2;519;263;256;6;49;88;19;27;257;50;13;10;77;179;55;23;157;40;15;96;9;200;99;101;0;3;9;3;15;142;15;10;3;9187;4580;4607;45;405;668;208;411;4035;1647;1376;392
201512;10040932;10;4;9;32;2;273;141;132;6;22;36;15;25;147;19;3;0;40;117;45;15;98;6;3;34;0;135;76;59;0;0;6;3;22;101;3;0;0;3960;1987;1973;33;176;268;93;182;1716;680;651;161
201512;10040933;10;4;9;33;2;719;334;385;12;68;101;37;57;321;95;22;6;105;293;84;3;222;18;56;100;27;316;146;170;6;20;12;12;45;184;27;7;3;14531;7216;7315;105;592;1116;359;630;6122;2537;2504;566
201512;1011101;1;1;11;1;1;1698;914;784;18;91;95;23;269;911;150;114;27;331;532;88;45;277;77;217;442;108;1161;642;519;3;28;33;9;238;663;106;54;27;3090;1608;1482;21;103;104;35;335;1405;360;562;165
201512;1011102;1;1;11;2;1;75;48;27;0;6;3;0;9;51;3;3;0;27;42;6;0;6;0;3;21;3;63;39;24;0;3;0;0;9;45;3;3;0;202;118;84;3;6;9;3;12;106;36;24;3
201512;1011103;1;1;11;3;1;3180;1757;1423;33;210;357;98;356;1564;320;193;49;440;975;203;152;365;282;537;693;176;2103;1215;888;9;76;152;40;293;1169;189;150;25;5489;3032;2457;39;248;404;119;516;2541;755;639;228
201512;1011104;1;1;11;4;1;2908;1543;1365;34;194;326;104;432;1485;196;103;34;417;752;150;74;243;456;574;637;172;1689;910;779;9;41;33;30;315;1073;109;57;22;4560;2491;2069;40;245;384;121;595;2495;366;261;53
201512;1011105;1;1;11;5;1;622;321;301;15;51;45;18;37;352;67;25;12;98;164;33;6;160;18;124;144;6;453;238;215;6;28;30;6;34;276;46;18;9;1110;599;511;18;61;61;24;52;580;166;120;28
201512;1011201;1;1;12;1;1;1000;536;464;12;51;108;30;100;502;129;55;13;144;293;16;6;263;35;149;203;51;648;368;280;6;12;33;12;58;397;86;37;7;2026;1053;973;12;63;130;40;167;922;336;282;74
201512;1011202;1;1;12;2;1;245;120;125;3;18;37;10;13;137;18;9;0;76;101;6;15;23;12;0;94;0;183;87;96;0;3;24;0;13;119;15;9;0;549;292;257;9;27;43;10;26;299;65;58;12
201512;1011203;1;1;12;3;1;481;240;241;6;27;30;9;35;299;51;24;0;106;178;18;3;182;17;9;89;3;355;186;169;0;12;7;3;28;248;36;21;0;962;480;482;9;45;39;18;56;518;127;123;27
201512;1011204;1;1;12;4;1;2776;1381;1395;55;145;256;64;240;1556;252;174;34;469;1009;154;61;506;87;352;681;80;1826;915;911;21;45;91;31;179;1167;153;120;19;6765;3383;3382;76;202;327;98;416;3239;850;1209;348
201512;1011301;1;1;13;1;1;2314;1177;1137;40;168;139;19;179;1566;110;93;0;656;1022;141;46;282;61;124;736;43;1662;852;810;10;49;51;4;142;1261;76;69;0;6173;3181;2992;81;355;316;55;358;3921;542;461;84
201512;1011302;1;1;13;2;1;4439;2250;2189;60;269;451;87;314;2964;185;91;18;1656;2169;208;95;366;187;192;1361;69;3047;1541;1506;15;66;99;18;262;2361;132;85;9;12281;6284;5997;121;566;1004;228;678;7736;1034;726;188
201512;1011303;1;1;13;3;1;3518;1890;1628;35;219;235;71;370;2283;210;77;18;883;1284;172;78;378;95;323;1248;112;2534;1377;1157;9;62;69;28;296;1857;134;61;18;8886;4690;4196;63;352;346;109;643;4990;867;1120;396
201512;1011304;1;1;13;4;1;2771;1380;1391;43;225;307;99;321;1474;175;100;27;399;648;105;179;277;210;225;1120;112;1711;846;865;3;51;95;28;209;1140;110;54;21;8479;3963;4516;56;329;452;151;554;3239;932;1806;960
201512;1011305;1;1;13;5;1;2304;1238;1066;44;163;211;63;189;1414;127;93;0;390;664;88;36;381;150;203;780;90;1476;835;641;8;48;57;24;119;1061;94;65;0;7281;3679;3602;79;271;331;100;397;3416;749;1276;662
201512;1011306;1;1;13;6;1;3145;1609;1536;55;232;264;90;389;1823;183;88;21;586;1056;183;145;266;508;220;762;188;2023;1065;958;15;33;64;30;320;1372;111;63;15;8861;4521;4340;100;414;403;129;638;4653;1009;1176;339
201512;1011401;1;1;14;1;1;5833;2917;2916;99;452;528;108;479;3860;196;90;21;2164;2866;277;170;499;160;337;1697;104;4184;2132;2052;25;134;203;56;395;3143;147;63;18;15751;7977;7774;215;923;1177;247;944;10272;1051;707;215
201512;1011402;1;1;14;2;1;4479;2212;2267;76;375;350;49;290;3113;136;87;3;1926;2396;213;45;338;95;122;1415;68;3117;1537;1580;19;95;77;14;239;2513;100;60;0;13014;6534;6480;187;852;927;163;618;8811;705;567;184
201512;1022101;1;2;21;1;1;1750;952;798;22;127;134;52;242;948;129;78;18;234;738;295;100;72;145;344;251;100;1204;679;525;9;53;45;21;184;718;90;69;15;3451;1921;1530;35;161;155;77;479;1944;304;245;51
201512;1022102;1;2;21;2;1;3655;1991;1664;50;244;333;110;384;2002;304;204;24;456;1275;404;228;131;580;587;636;218;2520;1390;1130;15;74;103;58;271;1573;235;170;21;6336;3458;2878;65;286;404;132;793;3504;599;447;106
201512;1022103;1;2;21;3;1;165;89;76;3;16;26;6;10;80;18;6;0;12;35;13;3;3;30;15;63;16;118;61;57;3;6;7;6;10;74;9;3;0;251;142;109;3;22;39;6;10;125;27;19;0
201512;1022104;1;2;21;4;1;8443;4501;3942;109;523;798;220;858;4599;738;553;45;1242;2780;860;491;446;1454;1059;1700;513;5339;2915;2424;22;98;159;57;569;3427;514;460;33;18040;9453;8587;171;771;1084;327;1854;9826;1994;1676;337
201512;1022105;1;2;21;5;1;2967;1573;1394;41;212;342;114;353;1492;225;161;27;326;932;222;200;163;564;473;435;200;1829;960;869;9;58;93;30;226;1092;158;136;27;5272;2761;2511;53;252;389;141;627;2734;519;438;119
201512;1022106;1;2;21;6;1;3872;1980;1892;50;251;395;142;368;2054;351;236;25;697;1326;295;195;343;398;510;875;225;2288;1212;1076;3;62;107;58;250;1441;191;161;15;11547;5722;5825;112;497;734;256;911;5672;1527;1430;408
201512;1022201;1;2;22;1;1;5097;2693;2404;80;356;464;161;586;2820;352;248;30;836;1650;357;259;291;1039;598;922;338;3110;1651;1459;23;78;115;53;390;2004;214;203;30;10783;5715;5068;132;538;634;214;1217;6206;913;731;198
201512;1022202;1;2;22;2;1;976;490;486;13;79;147;54;110;443;57;64;9;54;108;32;21;52;368;166;113;148;490;247;243;0;12;16;12;63;289;40;55;3;1478;729;749;16;91;177;63;167;676;129;141;18
201512;1022203;1;2;22;3;1;3925;1968;1957;51;290;516;164;385;1836;314;305;64;352;925;299;281;244;1076;632;403;364;2222;1109;1113;9;75;105;35;231;1243;223;256;45;6886;3500;3386;76;373;607;185;712;3260;691;769;213
201512;1022204;1;2;22;4;1;2225;1179;1046;27;128;216;50;239;1248;179;129;9;498;931;228;64;220;273;244;411;82;1407;764;643;9;33;54;19;180;900;113;93;6;5877;2973;2904;43;243;365;97;485;2962;695;779;208
201512;1022205;1;2;22;5;1;1837;915;922;28;143;269;109;147;824;156;131;30;145;369;143;140;307;279;310;276;156;952;476;476;10;28;88;40;89;505;82;89;21;3236;1642;1594;40;180;317;124;281;1371;381;438;104
201512;1022206;1;2;22;6;1;1150;595;555;9;98;129;20;89;612;109;69;15;218;454;134;27;101;144;119;221;84;615;314;301;3;16;24;3;58;399;58;42;12;3030;1596;1434;15;149;218;42;209;1593;365;320;119
201512;1022207;1;2;22;7;1;2420;1256;1164;26;106;140;66;505;1232;184;133;28;507;944;201;64;254;131;130;810;87;1693;891;802;3;24;25;21;445;958;107;94;16;5671;2902;2769;36;186;255;93;702;2487;647;926;339
201512;1033101;1;3;31;1;1;15905;8531;7374;288;1331;1998;695;1838;7877;1008;755;115;1533;4587;1174;1317;706;4384;1832;2060;1019;10434;5684;4750;117;420;620;302;1275;6239;717;651;93;26582;14035;12547;366;1653;2361;813;3128;13438;2159;2079;585
201512;1033102;1;3;31;2;1;6902;3636;3266;98;531;889;293;750;3434;469;388;50;634;1798;442;485;227;2354;820;726;492;4306;2312;1994;19;136;236;112;470;2626;331;336;40;11672;6043;5629;134;693;1004;332;1262;6074;933;991;249
201512;1033201;1;3;32;1;1;8438;4292;4146;123;741;1394;393;759;3808;652;488;80;517;1321;400;297;589;3286;1383;738;824;3921;2011;1910;13;100;191;89;364;2448;322;351;43;12988;6526;6462;158;860;1545;432;1226;5910;1221;1247;389
201512;1033202;1;3;32;2;1;5270;2664;2606;91;456;728;196;461;2578;402;322;36;381;1071;438;228;394;1815;579;605;578;2581;1297;1284;13;58;99;43;283;1602;225;237;21;9780;4846;4934;116;551;860;252;786;4436;981;1331;467
201512;1033203;1;3;32;3;1;8768;4681;4087;139;735;1149;358;986;4335;532;450;84;838;2265;659;595;502;2483;1148;1185;590;5368;2888;2480;35;195;283;125;663;3275;343;381;68;14165;7572;6593;184;856;1262;419;1587;7241;1118;1186;312
201512;1044101;1;4;41;1;1;9103;4939;4164;131;595;954;269;915;4870;800;520;49;1088;3081;945;563;396;2206;853;1400;604;5790;3188;2602;45;160;259;118;619;3587;536;423;43;20282;10472;9810;204;866;1321;412;2035;10154;2222;2382;686
201512;1044102;1;4;41;2;1;5811;3040;2771;106;448;574;153;516;3062;514;380;58;612;2006;838;481;257;1350;534;744;439;3473;1854;1619;21;115;156;53;357;2152;310;282;27;15958;7689;8269;166;673;886;283;1278;7047;1865;2594;1166
201512;1044103;1;4;41;3;1;3980;2095;1885;54;255;390;109;423;2236;287;207;19;590;1349;337;216;227;833;378;754;223;2632;1395;1237;9;66;134;48;302;1692;203;163;15;8131;4308;3823;87;338;467;151;883;4617;807;642;139
201512;1044201;1;4;42;1;1;15665;8389;7276;224;1141;2034;660;1704;7966;995;820;121;1437;4124;1047;1200;625;4495;2097;2041;1083;10090;5471;4619;85;371;629;263;1148;6138;669;699;88;23529;12479;11050;288;1300;2205;752;2823;11981;1822;1869;489
201512;1044202;1;4;42;2;1;9421;5116;4305;125;554;853;302;1355;5228;640;321;43;1213;2954;809;446;368;1636;1291;2235;491;6562;3618;2944;50;171;241;121;1059;4178;442;270;30;16699;8990;7709;190;757;1010;354;2204;9671;1391;903;219
201512;1044203;1;4;42;3;1;9070;4962;4108;97;591;950;322;950;4728;727;634;71;1116;2960;798;564;295;2622;857;1286;486;6031;3369;2662;30;155;238;136;638;3671;540;570;53;16113;8572;7541;151;732;1121;367;1661;8320;1525;1628;608
201512;11010101;11;1;1;1;2;47;25;22;0;3;3;0;6;31;4;0;0;6;34;13;3;4;0;0;3;3;33;21;12;0;3;0;0;6;24;0;0;0;560;345;215;6;18;34;9;32;253;114;75;19
201512;11010102;11;1;1;2;2;120;61;59;3;7;16;0;12;67;12;3;0;15;37;13;10;50;4;10;9;0;47;26;21;0;0;0;0;3;38;3;3;0;2553;1283;1270;12;95;224;54;101;1138;539;321;69
201512;11010103;11;1;1;3;2;417;271;146;13;39;58;9;71;211;12;0;4;6;31;12;82;86;6;91;109;12;342;232;110;10;33;40;6;68;179;6;0;0;1597;878;719;26;83;140;45;135;801;250;85;32
201512;11010204;11;1;2;4;2;2127;1048;1079;32;225;321;91;169;958;226;90;15;66;397;183;123;833;34;95;604;41;1066;521;545;17;82;91;39;105;606;99;24;3;8852;4367;4485;101;579;814;234;606;4174;1288;788;268
201512;11010205;11;1;2;5;2;1545;785;760;15;140;243;57;147;687;195;52;9;62;342;134;57;678;37;57;339;35;716;364;352;6;38;40;15;81;435;89;9;3;6696;3390;3306;52;374;594;131;439;3089;1133;702;182
201512;11010206;11;1;2;6;2;949;472;477;19;84;125;33;97;415;106;58;12;38;226;48;24;362;33;69;213;22;500;260;240;13;31;34;18;53;290;46;15;0;5866;2794;3072;49;271;453;131;350;2545;1077;757;233
201512;11010207;11;1;2;7;2;968;486;482;18;92;125;33;73;462;103;46;16;36;299;146;36;362;18;67;173;13;481;245;236;3;33;34;12;48;297;36;12;6;6996;3284;3712;76;423;551;135;416;3242;1032;713;408
201512;11010308;11;1;3;8;2;2518;1245;1273;47;264;397;85;224;1166;214;97;24;79;331;131;186;1021;69;181;664;66;1210;613;597;17;79;111;37;129;730;82;22;3;11309;5603;5706;95;578;873;211;583;4477;2313;1635;544
201512;11010309;11;1;3;9;2;1945;988;957;31;206;282;108;203;878;169;53;15;40;312;149;373;622;24;116;449;49;1054;533;521;6;74;80;50;124;616;80;24;0;9578;4796;4782;83;528;877;287;630;4177;1591;1067;338
201512;11010310;11;1;3;10;2;478;228;250;6;42;75;6;34;222;72;18;3;27;76;24;45;196;9;13;126;13;207;89;118;3;3;16;6;18;122;24;15;0;5183;2583;2600;33;208;311;58;237;2019;1240;901;176
201512;11020411;11;2;4;11;2;1385;712;673;41;167;163;30;204;689;67;12;12;46;383;136;171;234;50;121;390;36;946;501;445;17;72;80;6;165;548;40;9;9;8351;4188;4163;90;482;552;145;602;3581;1286;1295;318
201512;11020412;11;2;4;12;2;850;448;402;19;81;140;35;55;400;87;30;3;40;125;31;41;324;30;65;241;24;407;228;179;6;12;30;12;30;272;42;3;0;6164;2917;3247;52;287;464;119;295;2432;978;1103;434
201512;11020513;11;2;5;13;2;555;284;271;11;73;89;26;77;255;15;9;0;33;99;37;68;105;6;173;100;4;434;229;205;4;56;64;26;67;205;9;3;0;3786;1855;1931;36;234;366;102;190;1603;480;554;221
201512;11020514;11;2;5;14;2;1314;708;606;33;144;199;49;133;659;69;25;3;68;275;80;213;304;18;197;301;6;1009;548;461;12;87;158;46;111;540;45;10;0;8642;4197;4445;106;455;569;143;529;4571;875;973;421
201512;11020515;11;2;5;15;2;2837;1387;1450;62;305;419;126;271;1305;236;85;28;113;508;171;116;901;57;129;1060;66;1562;751;811;29;86;140;65;174;912;119;34;3;14349;6865;7484;138;713;1037;360;845;5891;1934;2782;649
201512;11020516;11;2;5;16;2;329;166;163;3;33;56;12;18;168;30;6;3;21;83;44;21;58;3;9;136;19;142;75;67;0;6;15;0;12;88;15;6;0;3730;1831;1899;30;179;237;70;146;1702;608;569;189
201512;11030617;11;3;6;17;2;1644;808;836;22;179;250;51;168;812;111;42;9;69;246;90;172;415;84;273;424;30;974;465;509;4;67;93;36;106;593;66;6;3;6072;2898;3174;41;264;369;93;418;2426;548;1486;427
201512;11030618;11;3;6;18;2;3310;1655;1655;61;301;360;110;393;1702;219;130;34;223;676;198;181;1042;79;324;939;69;1860;928;932;22;88;95;44;269;1172;100;58;12;15803;7623;8180;144;662;847;284;1004;6518;1761;3535;1048
201512;11030619;11;3;6;19;2;2655;1308;1347;55;248;295;78;261;1369;235;87;27;175;511;163;109;933;73;110;848;71;1467;715;752;16;69;77;33;161;965;115;28;3;10614;5143;5471;101;506;676;188;763;4409;1053;2220;698
201512;11030720;11;3;7;20;2;3483;2431;1052;47;163;186;50;727;2066;181;48;15;360;1749;652;177;256;18;420;841;22;3211;2272;939;38;132;137;40;690;1966;172;33;3;5588;3524;2064;56;215;241;74;952;3069;458;261;262
201512;11030721;11;3;7;21;2;5036;2978;2058;106;382;429;181;701;2690;403;107;37;521;1749;659;320;738;111;691;1348;79;3533;2191;1342;33;160;186;132;601;2091;269;52;9;23547;12068;11479;315;1228;1326;374;1657;12914;2247;2302;1184
201512;11030824;11;3;8;24;2;3018;1538;1480;36;243;319;88;502;1513;205;97;15;156;556;192;374;889;96;244;801;58;1777;924;853;12;61;90;36;368;1086;75;40;9;9986;4960;5026;75;444;651;206;949;4371;1001;1835;454
201512;11040925;11;4;9;25;2;667;343;324;12;53;64;15;78;397;27;21;0;181;303;74;33;63;24;46;192;6;433;228;205;6;3;12;6;60;325;12;9;0;3656;1898;1758;69;273;342;69;219;2389;198;82;15
201512;11040926;11;4;9;26;2;4523;2382;2141;86;396;436;95;483;2587;328;100;12;580;1728;520;293;877;106;137;1280;102;2858;1556;1302;31;112;129;42;355;1919;203;58;9;27567;13854;13713;328;1391;1502;381;1734;15589;2795;2876;971
201512;11041022;11;4;10;22;2;1455;762;693;32;134;168;26;194;754;107;31;9;120;495;91;83;343;34;117;341;42;971;521;450;19;64;95;10;142;578;51;9;3;5336;2685;2651;44;215;257;53;473;2322;511;1038;423
201512;11041023;11;4;10;23;2;1564;795;769;40;149;224;50;138;770;137;38;18;52;219;90;163;584;43;137;399;19;849;421;428;18;52;62;12;94;520;69;19;3;5914;2910;3004;79;335;450;119;403;2534;767;894;333
201512;11041027;11;4;10;27;2;554;297;257;6;58;78;27;42;273;34;27;9;37;179;70;59;179;19;9;98;11;333;192;141;3;24;40;17;22;196;25;3;3;2707;1380;1327;27;141;183;57;178;1204;370;386;161
201512;11041128;11;4;11;28;2;4477;2165;2312;64;375;517;171;635;2162;346;173;34;202;886;309;348;1424;127;395;1183;114;2632;1281;1351;22;121;153;88;457;1529;183;73;6;24682;11535;13147;175;889;1324;408;1575;9111;2740;6041;2419
201512;11051229;11;5;12;29;2;428;194;234;7;60;64;3;18;226;30;20;0;99;186;38;3;80;18;3;122;16;196;85;111;0;3;3;0;6;156;18;10;0;3423;1715;1708;43;337;363;52;82;1802;327;306;111
201512;11051330;11;5;13;30;2;1432;791;641;19;75;84;21;348;801;52;26;6;193;526;144;23;253;39;79;477;35;1013;585;428;6;19;6;6;292;640;24;20;0;9002;4399;4603;119;510;579;163;748;4770;901;845;367
201512;11051331;11;5;13;31;2;1552;933;619;31;173;220;62;245;716;72;21;12;121;303;86;74;278;15;582;261;39;1139;735;404;12;96;130;37;226;579;41;12;6;10383;5120;5263;100;606;929;254;587;4578;1229;1550;550
201512;11051332;11;5;13;32;2;650;311;339;9;85;141;30;48;282;28;18;9;128;260;88;3;183;15;18;146;25;281;128;153;0;3;18;9;33;191;12;12;3;6650;3209;3441;85;561;818;175;271;3215;638;615;272
201512;12103115;12;10;31;15;2;2819;1448;1371;30;220;323;87;248;1418;265;198;30;157;815;384;201;195;712;257;396;243;1583;829;754;6;51;66;33;164;973;151;124;15;7508;3719;3789;49;351;496;154;638;3435;914;1081;390
201512;12103116;12;10;31;16;2;3876;2024;1852;84;341;545;163;354;1898;278;189;24;225;1071;450;351;190;1106;343;522;293;2139;1106;1033;27;69;131;61;224;1315;154;143;15;9296;4697;4599;130;512;761;250;863;4414;1016;1008;342
201512;12103117;12;10;31;17;2;4830;2497;2333;84;433;581;158;474;2405;429;242;24;275;1481;681;479;219;1194;508;542;407;2835;1527;1308;28;101;170;84;312;1668;272;182;18;10301;5236;5065;126;577;780;244;958;4833;1189;1238;356
201512;12103218;12;10;32;18;2;4914;2503;2411;82;453;614;192;443;2365;439;290;36;348;1381;735;370;256;1307;443;645;512;2512;1263;1249;9;96;159;56;252;1499;216;201;24;13123;6380;6743;127;683;937;330;1110;5604;1513;1973;846
201512;12103219;12;10;32;19;2;3240;1655;1585;61;283;401;118;276;1612;283;197;9;255;975;422;230;138;862;355;350;330;1704;883;821;15;65;77;34;167;1020;175;145;6;8585;4083;4502;86;395;587;181;669;3658;1023;1363;623
201512;12103220;12;10;32;20;2;1099;569;530;19;71;106;34;68;591;125;73;12;97;426;250;70;100;192;69;170;72;523;262;261;7;15;28;9;34;324;43;54;9;4564;2205;2359;38;152;214;99;298;1988;652;818;305
201512;12214125;12;21;41;25;2;1753;1013;740;24;129;217;76;132;919;135;112;9;201;515;188;135;137;331;132;326;177;871;558;313;3;22;48;12;61;565;63;88;9;7223;3901;3322;48;315;462;182;503;3138;980;1254;341
